CloudFraction,Latitude,Longitude,ScanTime
0.000000,0.000000,0.000000,0
100.000008,-3.204792,-60.603859,1433619183
86.148300,-3.634544,-60.557186,1428178465
100.000000,-3.243148,-60.720657,1437855229
100.000000,-3.188245,-60.628647,1445672270
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
6.288741,-3.233599,-60.590508,1406964982
100.000008,-3.309546,-60.702579,1401135723
0.000000,0.000000,0.000000,0
84.004280,-3.225079,-60.637417,1443856588
0.000000,0.000000,0.000000,0
99.999992,-3.109056,-61.135925,1429172431
0.000000,0.000000,0.000000,0
100.000008,-3.220196,-60.567959,1405021789
100.000000,-3.188912,-60.583542,1425280326
99.999985,-3.238354,-60.618210,1420272689
91.988022,-3.199674,-60.573441,1397676826
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
100.000000,-3.150966,-60.690578,1392624811
75.273346,-3.149530,-60.451958,1399753339
91.523117,-2.961509,-59.650169,1388516102
100.000008,-3.245834,-60.516792,1451462885
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
100.000000,-3.205380,-60.591148,1390032094
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
43.734955,-3.236900,-60.623211,1408735893
100.000000,-3.161385,-60.701641,1392274776
6.250128,-3.221053,-60.561089,1435046255
38.574089,-3.169490,-60.552013,1438027206
0.000000,0.000000,0.000000,0
99.999992,-3.207030,-60.618084,1424936130
100.000000,-3.282723,-60.700195,1415992037
99.999992,-3.226360,-60.657883,1434874014
100.000000,-3.217407,-60.570461,1397893369
100.000000,-3.196822,-60.585052,1451806958
0.000000,0.000000,0.000000,0
29.274055,-3.230308,-60.567841,1411284357
93.813507,-3.224078,-60.563606,1406015667
100.000000,-3.236355,-60.553936,1392102780
38.135738,-3.195808,-60.586605,1401651814
100.000000,-3.175389,-60.603661,1432714488
100.000000,-3.198895,-60.601135,1392969005
100.000000,-3.303733,-60.738358,1423254086
0.000000,0.000000,0.000000,0
12.724724,-3.191200,-60.547695,1446232732
94.971817,-3.211913,-60.599689,1434352007
100.000000,-3.199305,-60.659203,1446188389
56.469395,-3.195373,-60.588127,1404416722
51.164124,-3.215729,-60.604935,1450379833
0.000000,0.000000,0.000000,0
100.000000,-3.196259,-60.622227,1405238484
99.999992,-3.207578,-60.628677,1424419945
57.873161,-3.222504,-60.590439,1443467981
25.078587,-3.202446,-60.622746,1436645004
100.000000,-3.206441,-60.646011,1448137262
99.999992,-3.176736,-60.580990,1434657318
52.946671,-3.210937,-60.657120,1432580851
51.090866,-3.225801,-60.624981,1387050652
100.000008,-3.241424,-60.569904,1402989899
100.000000,-3.218729,-60.550110,1444722793
0.000000,0.000000,0.000000,0
61.570656,-3.214364,-60.612282,1450035862
0.000000,0.000000,0.000000,0
29.494032,-3.279221,-60.705040,1410812422
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
100.000000,-3.218354,-60.616829,1419534057
99.999992,-2.993721,-59.566051,1424458447
73.393944,-3.155705,-60.500549,1446404841
100.000000,-3.223735,-60.637783,1451934457
0.357874,-3.221922,-60.569904,1436944740
99.999985,-3.235532,-60.540283,1426662673
100.000008,-3.222531,-60.567032,1433058629
100.000000,-3.244114,-60.622063,1390764683
0.000000,0.000000,0.000000,0
100.000008,-3.188283,-60.571667,1425713450
0.000000,0.000000,0.000000,0
99.450043,-3.099308,-61.153904,1433319571
100.000000,-3.246094,-60.599293,1387222718
0.000000,0.000000,0.000000,0
100.000000,-3.229649,-60.691208,1386101377
100.000000,-2.896367,-60.524376,1395039586
100.000000,-3.210331,-60.521805,1405321553
95.566055,-3.147424,-60.512352,1393618538
0.000000,0.000000,0.000000,0
100.000008,-3.205353,-60.616074,1413660369
100.000000,-3.239373,-60.607006,1448609050
32.042614,-3.208771,-60.596684,1386617623
95.043228,-3.147378,-60.498566,1447532096
99.999992,-3.195465,-60.605652,1425885508
100.000000,-3.217409,-60.639229,1440486706
0.000000,0.000000,0.000000,0
99.239456,-3.220875,-60.531418,1426190923
0.000000,0.000000,0.000000,0
0.000000,0.000000,0.000000,0
100.000000,-3.216088,-60.578545,1400530452
0.000000,0.000000,0.000000,0
89.890152,-3.206678,-60.611259,1391025806
0.000000,-2.225369,-60.450169,1418801322
78.941223,-3.223926,-60.576309,1429038870
91.261414,-3.012143,-59.513165,1394045738
74.250549,-3.216630,-60.557419,1432497596
22.804237,-3.210800,-60.661415,1435262597
29.726166,-3.209932,-60.572044,1443901129
0.000000,0.000000,0.000000,0
88.076904,-2.735439,-60.557560,1435129101
99.999992,-3.234709,-60.608543,1393746085
100.000000,-3.179588,-60.605213,1419062442
12.224880,-3.239000,-60.609379,1439320746
49.689098,-3.224229,-60.630669,1437033776
100.000000,-3.170451,-60.637913,1391242450
92.819122,-3.000764,-59.560936,1449341815
0.000000,0.000000,0.000000,0
100.000000,-3.212453,-60.582764,1444162103
100.000000,-3.201965,-60.633362,1385362789
87.396149,-3.004145,-59.571930,1398192927
70.500511,-3.210579,-60.557026,1441353029
37.851295,-3.223457,-60.591167,1433791129
100.000008,-3.243159,-60.571335,1422171408
66.081802,-3.195173,-60.622700,1386273381
100.000008,-2.983046,-59.563412,1428605812
100.000008,-3.220021,-60.571472,1398842713
100.000000,-3.171080,-60.559502,1392236086
99.999992,-3.187184,-60.620987,1403422938
98.676521,-3.229933,-60.642838,1417202340
100.000000,-3.200085,-60.619415,1431287402
100.000000,-3.368011,-60.546867,1416081007
11.431417,-3.232388,-60.570038,1437333129
84.800781,-3.205727,-60.649319,1423598242
20.769091,-3.213165,-60.584873,1433402631
40.492840,-3.218791,-60.613449,1430077253
100.000008,-3.181612,-60.643822,1399103777
100.000000,-3.248461,-60.530746,1403161900
0.000000,0.000000,0.000000,0
2.615955,-3.180730,-60.625660,1403594991
100.000000,-3.232870,-60.583740,1419623051
0.000000,-3.218518,-60.601280,1412061554
55.088348,-3.227443,-60.579987,1428261478
99.999992,-3.220117,-60.609360,1439581757
99.271378,-3.243500,-60.573311,1399447906
