date	title	amount	datevalue
2015-09-12	Paloma Rest Lanchon	20.59	42259
2015-09-15	Mc Donalds Asp	8.00	42262
2015-09-15	Pagamento recebido	-784.71	42262
2015-09-15	Minimercado Lj	5.11	42262
2015-09-15	Mlivre 1/6	6.84	42262
2015-09-15	Subway	14.00	42262
2015-09-15	Panificadora Marialva	19.32	42262
2015-09-15	Paloma Rest Lanchon	41.15	42262
2015-09-15	Kaiowa Ldk 1/3	56.88	42262
2015-09-15	Batatas Fritas Amelia	5.00	42262
2015-09-15	Mlivre 1/6	6.14	42262
2015-09-15	Mercadopago Mlivre 1/3	5.55	42262
2015-09-16	Ciclo Felline 3/3	74.33	42263
2015-09-16	Eucatur 2/10	13.10	42263
2015-09-16	Ciclo Felline	30.00	42263
2015-09-16	Mercadopago Mlivre 4/5	6.79	42263
2015-09-16	Casa das Biciclet 3/3	57.33	42263
2015-09-16	Pagseguro 2/3	16.66	42263
2015-09-16	Mercadopago Mlivre 4/6	6.52	42263
2015-09-19	Recarga Tim	30.00	42266
2015-09-19	Ke Supimpa	4.00	42266
2015-09-22	Habib S	24.06	42269
2015-09-22	Raposo Tavares	15.00	42269
2015-09-25	Ke Supimpa	3.50	42272
2015-09-29	Cinemark Eldorado	34.00	42276
2015-09-29	Carrefour Ere	47.31	42276
2015-09-29	Minimercado Lj	46.24	42276
2015-09-29	Habibs Corifeu	38.26	42276
2015-09-29	Ke Supimpa	6.00	42276
2015-09-30	Centauro Com 1/4	25.26	42277
2015-10-01	Nutricap Com Prod Alim	4.00	42278
2015-10-02	Ke Supimpa	7.50	42279
2015-10-06	Carrefour Ere	86.83	42283
2015-10-06	Habibs Corifeu	39.90	42283
2015-10-06	Pizza Hut	11.90	42283
2015-10-06	Cinemark Eldorado	34.00	42283
2015-10-06	Ebanx Spotify	14.90	42283
2015-10-07	Lanchonete da Fisica	25.55	42284
2015-10-07	Ke Supimpa	7.50	42284
2015-10-09	Supermercado Padrao	3.98	42286
2015-10-10	Fenix Com Estudantil	15.00	42287
2015-10-14	Jaquline Afonso Pereir	27.98	42291
2015-10-14	Merc Silva e Barbosa	53.91	42291
2015-10-14	Tre Scalini	36.00	42291
2015-10-14	Ke Supimpa	7.50	42291
2015-10-15	Pagamento recebido	-1147.12	42292
2015-10-16	Mercadopago Mlivre 5/6	6.52	42293
2015-10-16	Mlivre 2/6	6.86	42293
2015-10-16	Mlivre 2/6	6.15	42293
2015-10-16	Kaiowa Ldk 2/3	56.87	42293
2015-10-16	Pagseguro 3/3	16.66	42293
2015-10-16	Eucatur 3/10	13.10	42293
2015-10-16	Mercadopago Mlivre 2/3	5.53	42293
2015-10-16	Kaiowa Ldk 2/3	57.21	42293
2015-10-16	Centauro Com 2/4	25.24	42293
2015-10-16	Mercadopago Mlivre 5/5	6.79	42293
