date	title	amount	datevalue
2016-05-12	Habibs	9.90	42502
2016-05-12	Delicias Doces Caseiro	11.00	42502
2016-05-13	Carrefour Ere	55.18	42503
2016-05-14	Ifood Com	81.80	42504
2016-05-16	Pagamento recebido	-1367.03	42506
2016-05-17	Mercadopago Mlivre 3/3	8.39	42507
2016-05-17	Ultrafarma Saude 2/2	23.54	42507
2016-05-17	Loja do Mecanico 3/8	9.96	42507
2016-05-17	Simone Alves de Aguiar	15.00	42507
2016-05-17	Casas Bahiacom 2/3	11.06	42507
2016-05-17	Expresso Itamarati 4/6	47.66	42507
2016-05-17	Crédito de variação cambial	-1.09	42507
2016-05-17	Mercadopago 6/10	6.23	42507
2016-05-17	Eucatur 10/10	13.10	42507
2016-05-17	Mercadopago Mlivre 2/6	7.91	42507
2016-05-17	Mercadopago 2/6	7.02	42507
2016-05-17	Big X Picanha	55.77	42507
2016-05-17	Mercadopago 3/9	6.36	42507
2016-05-17	Mercadopago 5/12	6.11	42507
2016-05-17	Mercadopago 3/10	6.62	42507
2016-05-17	Mercadopago 4/12	16.33	42507
2016-05-17	Mercadopago Mlivre 3/6	7.97	42507
2016-05-17	Mercadopago 6/10	6.22	42507
2016-05-17	Mercadopago 3/12	6.91	42507
2016-05-17	Expresso Itamarati 5/6	65.66	42507
2016-05-17	Eucatur 4/10	14.20	42507
2016-05-18	Lanchonete da Fisica	3.75	42508
2016-05-18	Ke Supimpa	5.00	42508
2016-05-19	Coperativa Monte Sinai	18.00	42509
2016-05-19	Nutricap Com Prod Alim	4.50	42509
2016-05-19	Jerrinaldo Almeida de	43.00	42509
2016-05-20	Google Play Tomorrow C	4.29	42510
2016-05-23	Pagsegurouol Dayavegan	15.00	42513
2016-05-23	Ke Supimpa	4.00	42513
2016-05-23	Google Play Kairosoft	5.65	42513
2016-05-23	Ke Supimpa	4.00	42513
2016-05-23	Dia Loja	78.25	42513
2016-05-23	Ke Supimpa	5.00	42513
2016-05-23	Pagsegurouol Munartesa	12.00	42513
2016-05-23	Sao Paulo da Cruz	3.59	42513
2016-05-26	Pizza Hut	22.90	42516
2016-05-28	Carrefour Ere	6.05	42518
2016-05-30	Sao Paulo da Cruz	26.21	42520
2016-06-03	IOF de "Google Svcs1258463148"	0.11	42524
2016-06-05	Subway Eldorado	23.50	42526
2016-06-05	Mercadopago 1/10	6.58	42526
2016-06-05	Google Svcs1258463148	1.80	42526
2016-06-05	Carrefour Ere	63.40	42526
2016-06-05	Ifood Com	24.90	42526
2016-06-07	Ebanx Spotify	14.90	42528
2016-06-07	Dia Loja	83.35	42528
2016-06-09	Lanches Bh Ltda	9.20	42530
2016-06-09	Prime Dog	31.00	42530
2016-06-10	Recarga Vivo	20.00	42531
2016-06-13	Recarga Tim Autom	50.00	42534
2016-06-13	Mc Donalds Hsc	16.00	42534
2016-06-13	Emporio do Animal	53.30	42534
2016-06-14	Lanchonete Comfrey	7.00	42535
2016-06-15	Mercadopago Mlivre 3/6	7.91	42536
2016-06-15	Mercadopago 2/3	11.60	42536
2016-06-15	Pagamento recebido	-1246.84	42536
2016-06-15	Mercadopago 1/12	15.64	42536
2016-06-15	Mercadopago 4/12	6.91	42536
2016-06-15	Mercadopago 4/10	6.62	42536
2016-06-15	Mercadopago 7/10	6.23	42536
2016-06-15	Mercadopago 2/5	5.98	42536
2016-06-15	Mercadopago 2/2	6.45	42536
2016-06-15	Casas Bahiacom 3/3	11.06	42536
2016-06-15	Mercadopago 2/2	5.95	42536
2016-06-15	Mercadopago 4/9	6.36	42536
2016-06-15	Expresso Itamarati 5/6	47.66	42536
2016-06-15	Supermercado Padrao	97.41	42536
2016-06-15	Mercadopago 3/6	7.02	42536
2016-06-15	Mercadopago 6/12	6.11	42536
2016-06-15	Crédito de variação cambial	-0.08	42536
2016-06-15	Eucatur 5/10	14.20	42536
2016-06-15	Mercadopago 7/10	6.22	42536
2016-06-15	Mercadopago Mlivre 4/6	7.97	42536
2016-06-15	Expresso Itamarati 6/6	65.66	42536
2016-06-15	Loja do Mecanico 4/8	9.96	42536
2016-06-15	Mercadopago 5/12	16.33	42536
2016-06-17	Panif S Paulo da Cruz	4.67	42538
2016-06-20	Supermercado Padrao	21.78	42541
2016-06-20	Bar e Lanches Teu Lar	3.50	42541
2016-06-24	Hanburgao Lanches	14.00	42545
2016-06-27	Ifood Com	38.00	42548
2016-06-27	Pizzaria Bomfim	41.72	42548
2016-06-27	Dia Loja	95.11	42548
2016-06-27	Materpizza Com Alim	16.90	42548
2016-06-28	Sodie Doces	20.71	42549
2016-06-30	Drogasil	7.58	42551
2016-06-30	Mc Donalds Hsc	37.00	42551
2016-07-01	Dia Loja	20.08	42552
2016-07-04	Pagseguro Boacompra	5.54	42555
2016-07-04	Bar e Lanches Teu Lar	8.50	42555
2016-07-04	Habibs	16.78	42555
2016-07-04	Mercadopago 1/12	11.00	42555
2016-07-04	Habibs	23.75	42555
2016-07-05	Subway Eldorado	24.00	42556
2016-07-05	Cinemark Eldorado	35.00	42556
2016-07-06	Mercadopago 1/12	13.77	42557
2016-07-06	Nutricap Com Prod Alim	24.00	42557
2016-07-06	Habibs	12.80	42557
2016-07-07	Dia Loja	7.97	42558
2016-07-12	Drogasil	18.98	42563
2016-07-12	Kadalora	14.00	42563
2016-07-14	Ke Supimpa	5.00	42565
2016-07-15	Pagamento recebido	-1150.12	42566
2016-07-15	Mercadopago 7/12	6.11	42566
2016-07-15	Mercadopago 2/10	6.58	42566
2016-07-15	Expresso Itamarati 6/6	47.66	42566
2016-07-15	Mercadopago 5/9	6.36	42566
2016-07-15	Mercadopago Mlivre 4/6	7.91	42566
2016-07-15	Mercadopago 2/12	15.56	42566
2016-07-15	Loja do Mecanico 5/8	9.96	42566
2016-07-15	Mercadopago 8/10	6.23	42566
2016-07-15	Mercadopago 5/10	6.62	42566
2016-07-15	Mercadopago 3/5	5.98	42566
2016-07-15	Mercadopago 8/10	6.22	42566
2016-07-15	Mercadopago 3/3	11.60	42566
2016-07-15	Mercadopago 6/12	16.33	42566
2016-07-15	Mercadopago Mlivre 5/6	7.97	42566
2016-07-15	Mercadopago 5/12	6.91	42566
2016-07-15	Eucatur 6/10	14.20	42566
2016-07-15	Mercadopago 4/6	7.02	42566
2016-07-19	Habib S	30.31	42570
2016-07-19	Domingos C Ribeiro	45.00	42570
2016-07-19	Loja Oscar	14.90	42570
2016-07-19	Toco Sol	100.00	42570
2016-07-22	Monster Dog	12.50	42573
2016-07-22	Rodolfo Penteado Sanch	50.00	42573
2016-07-22	Merc Silva e Barbosa	45.63	42573
2016-07-25	Juliana Natacha Morais	26.50	42576
2016-07-25	Pam Delicia Milho	13.00	42576
2016-07-25	e K Minami	9.50	42576
2016-07-26	Ciop	80.00	42577
2016-07-26	Paulo Silva	12.00	42577
2016-07-26	Irmaos Gonvalves F	29.04	42577
2016-07-28	Speedy Conveniencia	8.50	42579
2016-07-28	Sidnei Marcos Albuquer	40.00	42579
2016-07-29	Acai Mania	33.30	42580
2016-07-29	Eucatur 1/10	13.00	42580
2016-07-29	Eucatur 1/9	10.43	42580
2016-07-29	Silvestre Conveniencia	4.00	42580
2016-07-29	Denis	30.00	42580
2016-07-29	So Pizzas	58.00	42580
2016-07-30	Mercadopago 2/12	13.67	42581
2016-07-30	Mercadopago 2/12	10.99	42581
2016-08-01	Eucatur 1/10	25.40	42583
2016-08-01	Recarga Tim	50.00	42583
2016-08-01	Big China Comercio de	57.79	42583
2016-08-02	Recanto Sup Hort	55.77	42584
2016-08-02	Mc Donalds Av Fco Mto	22.50	42584
2016-08-02	Supermercado Padrao	28.96	42584
2016-08-03	Mc Donalds Av Fco Mto	36.50	42585
2016-08-03	Estorno de "Eucatur"	-10.43	42585
2016-08-03	Carlos Alberto G Souza	15.00	42585
2016-08-03	Walmart Comercio Eletr 1/8	83.79	42585
2016-08-04	Ke Supimpa	10.00	42586
2016-08-04	Seg Youse Youse	1.08	42586
2016-08-05	Pagseguro Boacompra 1/3	41.33	42587
2016-08-05	Panqueoca	50.00	42587
2016-08-08	Mercadopago 3/12	15.56	42590
2016-08-08	Eucatur 7/10	14.20	42590
2016-08-08	Walmart Comercio Eletr 2/8	83.73	42590
2016-08-08	Mercadopago Mlivre 6/6	7.97	42590
2016-08-08	Eucatur 2/10	25.40	42590
2016-08-08	Mercadopago 8/12	6.11	42590
2016-08-08	Pagseguro Boacompra 2/3	41.33	42590
2016-08-08	Mercadopago 3/12	13.67	42590
2016-08-08	Mercadopago 6/10	6.62	42590
2016-08-08	Mercadopago 9/10	6.22	42590
2016-08-08	Loja do Mecanico 6/8	9.96	42590
2016-08-08	Mercadopago 4/5	5.98	42590
2016-08-08	Mercadopago 6/12	6.91	42590
2016-08-08	Mercadopago 3/12	10.99	42590
2016-08-08	Mercadopago 5/6	7.02	42590
2016-08-08	Mercadopago 9/10	6.23	42590
2016-08-08	Mercadopago Mlivre 5/6	7.91	42590
2016-08-08	Mercadopago 7/12	16.33	42590
2016-08-08	Mercadopago 6/9	6.36	42590
2016-08-08	Eucatur 2/10	13.00	42590
2016-08-08	Mercadopago 3/10	6.58	42590
2016-08-09	Supermercado Padrao	54.88	42591
2016-08-09	Ifood Com	38.90	42591
2016-08-10	Fenix Com Estudantil	20.00	42592
2016-08-11	Walmart Comercio Eletr 1/3	64.51	42593
2016-08-11	Supermercado Padrao	100.36	42593
2016-08-12	Mercadopago 1/4	8.47	42594
2016-08-15	Antonio da Paixao	6.00	42597
2016-08-15	Carrefour Ere	94.74	42597
2016-08-15	Pagamento recebido	-1393.13	42597
2016-08-15	Supermercado Padrao	61.17	42597
2016-08-15	Fufu Lia	4.50	42597
2016-08-15	Antonio da Paixao	6.00	42597
2016-08-16	Supermercado Padrao	3.99	42598
2016-08-17	Ke Supimpa	5.00	42599
2016-08-18	Mc Donalds Av Fco Mto	34.50	42600
2016-08-19	Urbe Cafe Bar	27.52	42601
2016-08-22	Kadalora	60.00	42604
2016-08-22	Saraiva Com 1/3	68.38	42604
2016-08-22	Multicoisas	50.75	42604
2016-08-22	Carrefour Ere	47.30	42604
2016-08-22	Ke Supimpa	7.00	42604
2016-08-23	Saraiva Com 1/3	35.58	42605
2016-08-23	Carrefour Ere	66.61	42605
2016-08-24	Supermercado Padrao	68.55	42606
2016-08-26	Lanchonete da Fisica	9.75	42608
2016-08-26	Recarga Tim Autom	50.00	42608
2016-08-29	Festa Achiropita	8.00	42611
2016-08-29	Ke Supimpa	8.50	42611
2016-08-29	Festa Achiropita	6.00	42611
2016-08-29	Festa Achiropita	12.00	42611
2016-08-29	Carrefour Ere	13.89	42611
2016-08-31	Drogasil	26.81	42613
2016-09-01	Mc Donalds Av Fco Mto	37.00	42614
2016-09-02	A Barateira	7.00	42615
2016-09-02	Felipe da Silva Franco	24.00	42615
2016-09-02	Laundry Delux	25.30	42615
2016-09-02	Droga Raia F21	24.97	42615
2016-09-05	Netviagem Reun Paulist	17.87	42618
2016-09-05	Seg Youse Youse	1.08	42618
2016-09-05	Reunidas Netv 1/3	66.20	42618
2016-09-05	Carrefour Ere	45.85	42618
2016-09-08	Mercadopago 7/10	6.62	42621
2016-09-08	Mercadopago 7/9	6.36	42621
2016-09-08	Eucatur 3/10	13.00	42621
2016-09-08	Mercadopago 4/12	10.99	42621
2016-09-08	Saraiva Com 2/3	68.37	42621
2016-09-08	Mercadopago 7/12	6.91	42621
2016-09-08	Walmart Comercio Eletr 2/3	64.50	42621
2016-09-08	Mercadopago 2/4	8.47	42621
2016-09-08	Mercadopago Mlivre 6/6	7.91	42621
2016-09-08	Mercadopago 10/10	6.23	42621
2016-09-08	Mercadopago 5/5	5.98	42621
2016-09-08	Mercadopago 6/6	7.02	42621
2016-09-08	Walmart Comercio Eletr 3/8	83.73	42621
2016-09-08	Eucatur 3/10	25.40	42621
2016-09-08	Reunidas Netv 2/3	66.19	42621
2016-09-08	Mercadopago 10/10	6.22	42621
2016-09-08	Mercadopago 4/10	6.58	42621
2016-09-08	Eucatur 8/10	14.20	42621
2016-09-08	Loja do Mecanico 7/8	9.96	42621
2016-09-08	Mercadopago 9/12	6.11	42621
2016-09-08	Mercadopago 4/12	15.56	42621
2016-09-08	Pagseguro Boacompra 3/3	41.33	42621
2016-09-08	Mercadopago 8/12	16.33	42621
2016-09-08	Saraiva Com 2/3	35.56	42621
2016-09-08	Mercadopago 4/12	13.67	42621
2016-09-09	Esal	26.90	42622
2016-09-12	Google Play Pomappsdot	5.34	42625
2016-09-12	Panif Pingo Doce	8.50	42625
2016-09-13	Lanchonete da Fisica	4.50	42626
2016-09-13	Perusp	5.00	42626
2016-09-14	Mercadopago Ecommerc 1/3	6.65	42627
2016-09-14	Ke Supimpa	4.00	42627
2016-09-14	Mercadopago 1/3	7.97	42627
2016-09-15	Pagamento recebido	-1637.01	42628
2016-09-15	Pastel Deliver	28.00	42628
2016-09-16	Ke Supimpa	4.50	42629
2016-09-16	Nutricap Com Prod Alim	3.75	42629
2016-09-19	Panificadora Opala	7.00	42632
2016-09-19	Aixmobil Eleicao	15.00	42632
2016-09-20	Carrefour Ere	105.45	42633
2016-09-21	Ke Supimpa	4.00	42634
2016-09-21	Nutricap Com Prod Alim	5.00	42634
2016-09-22	Lanchonete da Fisica	3.75	42635
2016-09-22	Ke Supimpa	4.00	42635
2016-09-23	Cinemark Eldorado	34.00	42636
2016-09-26	Merc Silva e Barbosa	9.57	42639
2016-09-26	Pastel Deliver	25.00	42639
2016-09-26	Pastel Deliver	29.50	42639
2016-09-26	Google Play Laser Dog	5.10	42639
2016-09-26	Subway	8.50	42639
2016-09-27	Supermercado Padrao	59.72	42640
2016-09-28	Lanchonete da Fisica	5.00	42641
2016-09-29	Pastel Deliver	32.00	42642
2016-09-29	Recanto Sup Hort	50.47	42642
2016-09-30	Lanchonete da Fisica	8.75	42643
2016-09-30	Estorno de "Mercadopago Ecommerc"	-6.65	42643
2016-10-03	Madhu	58.30	42646
2016-10-03	Mc Donalds Av Fco Mto	13.00	42646
2016-10-03	Habib S Butanta	32.25	42646
2016-10-03	Recarga Tim Autom	50.00	42646
2016-10-03	Recanto Sup Hort	18.85	42646
2016-10-04	IOF de "Www Ovh Com"	0.75	42647
2016-10-04	Pizzaria Impor Felicci	25.00	42647
2016-10-04	Seg Youse Youse	1.08	42647
2016-10-04	Www Ovh Com	11.73	42647
2016-10-06	Lanchonete da Fisica	5.00	42649
2016-10-07	Granbom	12.00	42650
2016-10-08	Saraiva Com 3/3	68.37	42651
2016-10-08	Mercadopago 8/12	6.91	42651
2016-10-08	Mercadopago 8/10	6.62	42651
2016-10-08	Reunidas Netv 3/3	66.19	42651
2016-10-08	Mercadopago 5/12	10.99	42651
2016-10-08	Loja do Mecanico 8/8	9.96	42651
2016-10-08	Mercadopago 9/12	16.33	42651
2016-10-08	Mercadopago 10/12	6.11	42651
2016-10-08	Walmart Comercio Eletr 4/8	83.73	42651
2016-10-08	Eucatur 4/10	25.40	42651
2016-10-08	Eucatur 9/10	14.20	42651
2016-10-08	Mercadopago 5/12	13.67	42651
2016-10-08	Mercadopago 3/4	8.47	42651
2016-10-08	Mercadopago 5/12	15.56	42651
2016-10-08	Mercadopago 8/9	6.36	42651
2016-10-08	Mercadopago 2/3	7.96	42651
2016-10-08	Eucatur 4/10	13.00	42651
2016-10-08	Mercadopago 5/10	6.58	42651
2016-10-08	Saraiva Com 3/3	35.56	42651
2016-10-08	Walmart Comercio Eletr 3/3	64.50	42651
2016-10-10	Supermercado Padrao	24.40	42653
2016-10-10	Chocolates Liverpool	11.40	42653
2016-10-11	Carrefour Ere	123.09	42654
2016-10-13	Recanto Sup Hort	20.74	42656
2016-10-13	Tolocos	26.00	42656
2016-10-13	Uber Uber Br Oct12 Rnr	12.34	42656
2016-10-13	Google Play Martin Sta	3.21	42656
2016-10-13	Supermercado Padrao	105.68	42656
2016-10-13	Lanches Bh Ltda	4.90	42656
2016-10-13	Nova Augusta	59.80	42656
2016-10-14	Edinaldo Espetinhos	12.00	42657
2016-10-14	Pastel Deliver	22.00	42657
2016-10-14	Uber Uber Br Oct13 Jaz	11.59	42657
2016-10-17	Crédito de variação cambial	-0.13	42660
2016-10-17	Lanchonete da Fisica	4.00	42660
2016-10-17	Pagamento recebido	-1279.43	42660
2016-10-17	Nutricap Com Prod Alim	4.00	42660
2016-10-20	Hostgator Hosp Sites	39.99	42663
2016-10-20	Silvio Sidnei Bispo do	27.00	42663
2016-10-21	Ke Supimpa	8.00	42664
2016-10-24	Carlos Eduardo Rodrigu	25.00	42667
2016-10-24	Uber Uber Br Oct21 Jd7	13.11	42667
2016-10-24	Mauricio Vendas	34.00	42667
2016-10-24	Mc Donalds Av Fco Mto	31.40	42667
2016-10-24	Recarga Tim	30.00	42667
2016-10-24	Pagseguro Boacompra 1/3	6.67	42667
2016-10-25	Pizzaria Delivery	25.00	42668
2016-10-26	Lanchonete da Fisica	10.00	42669
2016-10-27	Nutricap Com Prod Alim	6.00	42670
2016-10-28	Luiza Viana Pereira da	14.00	42671
2016-10-31	Uber Uber Br Oct28 Pso	6.50	42674
2016-11-01	Www Ovh Com	11.55	42675
2016-11-01	Carrefour Ere	76.10	42675
2016-11-01	IOF de "Www Ovh Com"	0.74	42675
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
