data,nome,tipo,valor
2015-03-13,Marinalva (2dias),Diaristas,-150.0
2015-03-16,Marinalva (VT),Diaristas,-20.0
2015-03-16,2 Camisetas,Vendas,40.0
2015-03-17,Lanchonete,Aluguel,7500.0
2015-03-17,Marinalva (2dias),Diaristas,-150.0
2015-03-18,Moletom,Vendas,100.0
2015-03-19,Moletom,Vendas,100.0
2015-03-19,Marinalva (VT),Diaristas,-20.0
2015-03-19,Marinalva (1 dia),Diaristas,-75.0
2015-03-20,Marinalva (1 dia),Diaristas,-75.0
2015-03-20,Conta de Luz,Conta de Luz,-124.66
2015-03-20,Vale,Funcionário-Marivalda,-500.0
2015-03-20,Emprestimo,Repasse Cherateria,-150.0
2015-03-23,Caneca,Vendas,5.0
2015-03-23,Moletom,Vendas,100.0
2015-03-23,Marinalva (VT),Diaristas,-20.0
2015-03-23,Moletom,Vendas,100.0
2015-03-24,Marinalva (2dias),Diaristas,-150.0
2015-03-25,Aluguel microfone (IME),Vendas,20.0
2015-03-25,2 Camisetas,Vendas,40.0
2015-03-25,Camiseta,Vendas,20.0
2015-03-26,Marinalva (1 dia),Diaristas,-75.0
2015-03-26,Café com quantum,Outras despesas,-31.25
2015-03-26,Marinalva (VT),Diaristas,-20.0
2015-03-27,Marinalva (1 dia),Diaristas,-75.0
2015-03-27,Camiseta,Vendas,20.0
2015-03-27,Bottoms,Compras,-270.0
2015-03-27,Lanches (Reunião Cefisma),Outras despesas,-30.0
2015-03-27,Camiseta,Vendas,20.0
2015-03-30,Marinalva (VT),Diaristas,-20.0
2015-03-31,Marinalva (2dias),Diaristas,-150.0
2015-03-31,Material Limpeza,Material de Limpeza,-230.7
2015-04-01,Conserto da câmera fotográfica,Eventos,-120.0
2015-04-01,Marinalva (VT),Diaristas,-20.0
2015-04-02,Marinalva (2dias),Diaristas,-150.0
2015-04-02,Salário,Funcionário-Marivalda,-1404.07
2015-04-02,DARF,JB Contabilidade,-10.26
2015-04-02,FGTS,JB Contabilidade,-82.09
2015-04-02,JB Contabilidade,JB Contabilidade,-394.0
2015-04-02,GPS,JB Contabilidade,-367.37
2015-04-07,Marinalva (VT),Diaristas,-20.0
2015-04-07,Camiseta,Vendas,20.0
2015-04-07,Camiseta,Vendas,20.0
2015-04-08,Camiseta,Vendas,20.0
2015-04-08,Caneca,Vendas,5.0
2015-04-08,Xerox (Ref. Março),Aluguel,1448.0
2015-04-08,Xerox (Ref. Abril),Aluguel,1448.0
2015-04-08,Livraria,Aluguel,800.0
2015-04-08,Moletom,Vendas,100.0
2015-04-08,Aluguel microfone ,Vendas,20.0
2015-04-08,Pgto da 1º Parcela Moletons,Compras,-3000.0
2015-04-08,Taxa de Doc Banco,Compras,-14.9
2015-04-08,Marinalva (2dias),Diaristas,-150.0
2015-04-09,Marinalva (VT),Diaristas,-20.0
2015-04-10,Marinalva (2dias),Diaristas,-150.0
2015-04-10,Ultrafarma,Compras,-184.82
2015-04-10,2 Canetas + caneca,Vendas,9.0
2015-04-13,Camiseta,Vendas,20.0
2015-04-14,Marinalva (VT),Diaristas,-20.0
2015-04-14,Camiseta,Vendas,20.0
2015-04-15,Lanchonete,Aluguel,7500.0
2015-04-16,Site Cefisma (trimestral),Manutenção do Site,-210.0
2015-04-16,Caneca,Vendas,5.0
2015-04-16,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-04-16,5 Camisetas,Vendas,100.0
2015-04-16,2 Camisetas,Vendas,40.0
2015-04-16,8 Chaveiros,Vendas,40.0
2015-04-17,Erica (2 dias),Diaristas,-150.0
2015-04-17,Vale,Funcionário-Marivalda,-500.0
2015-04-17,Bebidas,Vendas,72.0
2015-04-22,Doação,Doação,-7.0
2015-04-22,Marinalva (VT),Diaristas,-20.0
2015-04-23,Caneca,Vendas,5.0
2015-04-23,Moletom,Vendas,100.0
2015-04-23,Marinalva (2dias),Diaristas,-150.0
2015-04-24,Moletom,Vendas,100.0
2015-04-24,Moletom,Vendas,100.0
2015-04-24,Repasse,Repasse Atlética,-2900.0
2015-04-27,Marinalva (VT),Diaristas,-20.0
2015-04-27,Kalunga,Compras,-137.8
2015-04-27,Moletom,Vendas,100.0
