avg,std
68737.60369829582,22087.999346482447
75651.0929913625,24356.974826876285
82660.22923853844,26661.55758688061
89674.15573741875,28922.747905954482
96656.53646327736,31262.001045918852
103639.28062098357,33527.6621325263
110597.08639860344,35758.884244872526
117664.51619427993,38102.86362957335
124660.91402553701,40493.32967425404
131691.26329953232,42725.27942014999
138689.03228621118,45046.729841499495
0.0,0.0
14303.743466289388,3416.1620782915275
28234.5911576902,7729.413624279103
42064.243289478996,12415.76226843581
55883.04794898664,17359.122970361146
69565.57525603546,22414.431302460107
