,word,word_count
3528,barraca,7
466,devemos,7
1579,assuntos,7
1235,tendo,7
1169,demais,7
314,político,7
794,conselho,7
3398,maneira,7
2955,eleitoral,7
1192,acontecerá,7
549,carta,6
1548,urna,6
1148,esqueçam,6
3140,diretoria,6
542,podemos,6
859,sangue,6
1411,popular,6
3122,poderão,6
836,parabéns,6
2021,enquanto,6
1410,fazendo,6
2217,precarização,6
3766,infelizmente,6
1629,zago,6
891,base,6
3336,aconteceu,6
1209,desse,6
1562,atividade,6
75,serviços,6
883,proibição,6
1679,modo,6
1461,falar,6
2426,campos,6
1156,várias,6
3235,violência,6
264,abertura,6
336,pedimos,6
957,prova,6
569,responsável,6
872,outra,6
3426,frota,6
3206,todxs,6
1234,militar,6
83,diferentes,6
183,abrahão,6
1064,duas,6
1174,mesas,6
2595,martins,6
3114,realização,6
504,propostas,6
2977,nulos,6
647,intuito,6
2976,brancos,6
2721,nenhum,6
144,junho,6
1420,meio,6
1894,algum,6
1590,calendário,6
96,atendimento,6
766,passar,6
2957,diretas,6
795,universitário,6
2821,fora,6
2929,latex,6
948,último,6
1582,aqueles,6
8,compareçam,6
996,puderem,6
1036,começa,6
1577,importantes,6
1425,site,6
2677,questão,6
409,programa,6
379,convidamos,6
3618,extensão,6
3450,cbpf,6
395,próxima,6
397,abril,6
828,tempo,6
1788,social,6
425,convida,6
743,participem,6
1566,quiserem,6
651,apresentação,6
244,realizado,6
2277,realizar,6
1097,conhecimento,6
3452,artigo,6
2152,ataque,5
958,necessária,5
949,jamais,5
4327,procuradoria,5
932,sistema,5
1621,formação,5
1610,candidatos,5
2168,desta,5
1647,história,5
1605,opinião,5
914,medidas,5
1858,semestre,5
962,mesma,5
1503,lousas,5
733,deixar,5
1781,mesa,5
1978,transporte,5
817,futuro,5
1821,sorteados,5
1824,devido,5
1908,sair,5
1835,linda,5
759,cargo,5
1754,principal,5
1895,estudante,5
1847,reforço,5
1888,volta,5
1862,colegas,5
789,pauta,5
991,lembrando,5
777,comissões,5
786,diretores,5
1522,estudar,5
974,fosse,5
672,regularmente,5
1685,lado,5
889,formas,5
1674,primeiramente,5
2126,inclusive,5
680,informe,5
1683,compreensão,5
681,amigos,5
685,node,5
692,iniciativa,5
1693,estudo,5
2002,policiais,5
868,contrário,5
867,chamado,5
707,levar,5
1717,projetos,5
709,maior,5
94,instituições,5
2023,discutida,5
971,enem,5
1478,sugestão,5
2400,formulário,5
4378,hc_location,5
3195,provas,5
520,organizar,5
364,protesto,5
526,máximo,5
527,possível,5
528,precisamos,5
1224,preta,5
354,plano,5
351,manhã,5
341,atos,5
163,forms,5
3211,view,5
1116,matemática,5
2499,centros,5
1221,vista,5
3520,departamento,5
1220,negra,5
1120,sessão,5
1368,comum,5
4430,administração,5
2642,opressão,5
311,liberdade,5
2830,dando,5
453,prazo,5
