0,1,2,3
28,440697006094380_450103511820396,2015-03-26T18:15:30+0000,"NOTA DE REPÚDIO À DEPREDAÇÃO DOS CARTAZES

Na madrugada do sábado, dia 21/03, cartazes do Coletivo de Mulheres Sonja Ashauer e da Casa de Libra (grupo LGBT do Instituto de Física) foram indiscriminadamente RASGADOS, DERRUBADOS, PISOTEADOS, PIXADOS E ROUBADOS. O ato foi gravado e temos as imagens. Nós do Cefisma repudiamos fortemente essa ação por acreditarmos que é fundamental garantir a liberdade de expressão e posicionamento político, principalmente aos grupos minoritários que estão lutando pelos seus espaços, que lhes são diariamente negados pelo Intituto de Física, pela USP e pela sociedade.
Defendemos o direito de todos se manifestarem, mas não de forma opressora, repressora e disciminatória. Pedimos que a comunidade entenda a gravidade desses atos e impeça que novos aconteçam.

Centro Acadêmico da Física - Cefisma",
29,440697006094380_449850231845724,2015-03-26T03:26:42+0000,"ATO NO BANDEJÃO CENTRAL (26/03) E CONCENTRAÇÃO NO IFUSP

Amanhã, 26/03, às 11h30 da manhã, haverá um ato em frente ao Bandejão Central, contra os problemas causados pelo Plano de Incentivo à Demissão Voluntária (PIDV), congelamento da contratação de funcionáries e docentes, cortes de bolsas, em protesto à situação dos bandejões e das creches, e pela defesa da permanência estudantil. Segue o link do evento: https://www.facebook.com/events/1417212935256157/?ref=2&ref_dashboard_filter=upcoming
Como tirado em assembleia de estudantes da física, estamos divulgando o ato e convidamos todes a participar! 
Será feita uma concentração no IF, das 11h às 11h20, nos bancos na frente da janela da atlética, para irmos juntes.",Cefisma IFUSP shared CA Lupe Cotrim - CALC's event.
30,440697006094380_1622132271335586,2015-03-23T20:58:07+0000,,Cefisma IFUSP added an event.
31,440697006094380_447715852059162,2015-03-21T23:02:17+0000,"Ata da Assembleia de Estudantes da Física – 19.03.2015
30 pessoas presentes
próxima assembleia: 28 de abril às 16:30.

INFORMES

-No dia 26/03 ocorrerão atos em todo o país em diversas universidades públicas e privadas, pela luta em defesa da educação e, especificamente na USP, contra os efeitos do programa de demissão voluntária e dos cortes de verbas, juntamente à defesa da permanência estudantil na universidade. Assim, foi convocado um ato no Bandejão Central às 11:30. Nesse mesmo dia, às 18h haverá um ato mais amplo, com centralização na Vergueiro. Foi decidido que o Cefisma seria um canal de divulgação para es estudantes da fisica.
Evento: https://www.facebook.com/events/1417212935256157/ 

-O Coletivo de Mulheres convida todo mundo para o Café com Quantum que ocorrerá dia 26/03 às 16h no Auditório Novo I do Instituto de Física. O evento tratará sobre o surgimento do Coletivo e das mulheres no IAG e no IF.
https://www.facebook.com/events/230283400480149/ 

PAUTAS:

-LICITAÇÃO:
 -Foi colocado como problemático tirar as pessoas que hoje estão aí, o processo todo deverá ser feito informando os envolvidos antecipadamente dos prazos (como já vem sendo feito).
 - Precisamo estabelecer um PRAZO/META para nos organizarmos.
 -Há muitas possibilidades de fazermos a licitação, valorizando “quem paga mais” ou “quem cobra menos”, por exemplo. Devemos ter como pergunta norteadora “O que os estudantes querem para uma lanchonete/xerox/livraria? Selecionar quais são as nossas exigências para a licitação.
 O que queremos para um XEROX? Sugestões: pastas de disciplinas, acesso à internet, menores preços, mesmos preços para cópias, venda de pen driver, acervo de xerox, encadernação e infraestrutura para chapelaria.
 O que queremos para uma LIVRARIA? Sugestões: material escolar, editora da Física, livros didáticos, bibliografia dos livros usados no IF e infraestrutura para chapelaria.
 -Para a LANCHONETE, principalmente, colocaremos uma CAIXA DE SUGESTÕES aberta  no Cefisma para “chuva de propostas”. Encarregados: Mariana Cipolla, Thandryus, Maria Luiza, Gustavo.
 Depois de uma semana, abriremos a caixa em um encontro para tirar, nele, as propostas gerais dos estudantes.
 -Contatar o CIMIFUSP para organizar um diálogo da comunidade como um todo. Assim, temos o objetivo de coletar as necessidades de todos para que o processo de licitação abranja o máximo possível da comunidade do IF. Precisamos informar funcionárias/os e docentes, através do CIMIFUSP, desde agora sobre o preocesso para que todos possam se organizar.

-CRECHES
 1-Nota de apoio des estudantes/cefisma. 
 2-Ir atrás das demandas do movimento em defesa das creches para sabermos como podemos ajudar efetivamente.
 3-Aluno do IME irá encaminhar carta de aluna expulsa da educação e carta do movimento feminista e da luta em defesa de creche com reivindicações para ser lida na próxima reunião do Cefisma.

 -FURTOS na vivência
 -Se algo ocorrer, comunique o CEFISMA (forma de saber o que está ocorrendo na vivência)
 -Faremos um aviso do tipo “Fique de olho nas suas coisas” e colocaremos na vivência, cada um é responsável por lembrar de cuidar das suas coisas.

-SALA DE ESTUDOS
 1-Reforçar e renovar os avisos/regras com papel neon. Reforçar: conversas nas salinhas somente com portas fechadas, salinhas só podem ser usadas se houver, no mínimo, 3 pessoas.
 2-Cefisma enviará e-mail para a engenharia do instituto informando da necessidade de concertar fechaduras e tomadas, fazer isolamento sonoro melhor nas salinhas, trocar os quadros por vidros (que não estragam com canetas inapropriadas). 
 3-Incentivar o uso de outros espaços (mais silenciosos) através de divulgação (tem gente que não conhece outros lugares).
 4-Campanha de Silêncio

-COMPRAS
 Caixinha de sugestões explicativa que será colocada na área vivêncica-secretaria para que es estudantes coloquem suas sugestões. Depois ela será aberta e as sugestões levadas para assembleia para serem votadas.",
32,440697006094380_447264078771006,2015-03-20T19:03:17+0000,"""No final do ano passado surgiu entre o Instituto de Física (IF) e o Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG) a ideia de formar um coletivo para trazer discussões sobre a presença das mulheres nesses ambientes e suas dificuldades; e parte dessa ação é propor atividades em que o coletivo interaja com as pessoas dos institutos. Com esse intuito o Cefisma, em parceria com o coletivo de mulheres Sonja Ashauer, apresentam: Café com Quantum - Roda de Conversa Mista & Apresentação do Coletivo Sonja Ashauer.
Vai rolar a apresentação do coletivo e seus principais posicionamentos. Vamos compartilhar experiências dentro dos institutos e esclarecer alguns fatos recentes.

O Café será dia 26/03, quinta-feira, das 16h às 19h, no Auditório Novo I (no IFUSP).
Venham todes :)""

https://www.facebook.com/events/230283400480149/",
33,440697006094380_447219565442124,2015-03-20T16:39:07+0000,"INSCRIÇÃO PARA OS ARMÁRIOS ABERTA

Já está aberto o período de inscrições de duplas para a utilização dos armários do IFUSP.

É necessário ser aluno regularmente matriculado no Instituto. Não serão consideradas inscrições individuais e a utilização é pelo período de 1 ano, podendo ser renovada neste mesmo período no ano que vem.

COMPARTILHE E INFORME OS SEUS AMIGOS!!!

http://cefisma.org.br/node/88",
34,440697006094380_446881882142559,2015-03-19T22:40:25+0000,"Conforme deliberado em Assembleia, o CEFISMA ficou encarregado de divulgar a iniciativa de um ato contra a situação dos bandejões.

É importante ressaltar que os estudantes da física foram um os mais afetados pelo fechamento do bandejão da prefeitura do campus, que por conta da proximidade levou a um aumento absurdo das filas em nosso refeitório. Devemos notar que a falta de funcionários em nosso bandeco, além de levar à uma demora maior no atendimento, pode causar sobrecarga e adoecer os trabalhadores do restaurante. (Isso ocorre com mais frequencia que imaginamos!)

 Por isso convidamos todos ao ato e faremos uma concentração no dia para irmos juntos até o central.


https://www.facebook.com/events/1417212935256157/",Cefisma IFUSP shared CA Lupe Cotrim - CALC's event.
35,440697006094380_445318168965597,2015-03-17T00:03:38+0000,"Não sei se todes estão sabendo, mas as creches da USP estão ameaçadas. A entrada de novas crianças já foi vetada pela reitoria, e isso vem prejudicando muitas mães e pais que estudam e trabalham na universidade, que por não terem onde deixar es filhes. Na física mesmo, há algumas pessoas afetadas pelo problema das creches. Segue abaixo o e-mail de uma funcionária do IFUSP explicando melhor a situação. Assinem a petição abaixo, e participem das atividades de amanhã que rolarão na USP no Dia de Luta pelas Creches!
""(...) Não sei se chegou até vocês a informação de que há uma diretiva do reitor para fechar as creches, assim como todos os outros serviços que não são ""atividades fim"" da universidade.
Esse ano ele impediu a entrada de novas crianças, apesar das creches terem vagas, conforme explicado na petição cujo link segue abaixo. E, além disso,  como não foi aprovada a adequação do cargo das educadoras como professoras da educação infantil, a partir do ano que vem o atendimento de crianças de 4 a 6 anos pelas creches/ pré-escolas da USP pode passar a ser ilegal. Ou seja, em dois anos ele reduz o atendimento apenas às crianças de 2 a 3 anos e inviabiliza a continuidade do funcionamento.
As associações de pais prepararam uma petição, cujo link segue abaixo.
Uma das comissões organizadas para tentar reverter a situação, da qual estou participando, recorrerá aos titulares e diretores das instituições que trabalham para tentar incluir o tema como pauta da congregação e, quem sabe, poder levar uma posição de apoio para o conselho universitário.  A Faculdade de Educação e o Instituto de Psicologia já fizeram monções contra essas atitudes da Reitoria, eu tenho esses documentos e manda-los, se vocês acharem pertinente.
Sei que a estratégia é ambiciosa, mas enfim, estamos tentando pensar em todas as possibilidade, afinal é o futuro de nossos filhos que está em jogo. O auxílio creche, benefício concedido, mesmo que dobre o preço, não permite que mantenhamos nossos filhos em tempo integral em um lugar com o atendimento do nível que temos na creche hoje. (...)""",
36,440697006094380_445131895650891,2015-03-16T14:55:16+0000,,Cefisma IFUSP shared Frente Feminista Usp's photo.
37,440697006094380_444655252365222,2015-03-15T19:58:41+0000,"Agora o Coletivo de Mulheres Sonja Ashauer - Física/IAG tem uma página! Curtam a página, apoiem, e fiquem ligades no coletivo!",Cefisma IFUSP shared a page.
